,Ticker,DCF_Value,Market_Cap,Current_Price,DCF_MarketCap_Ratio,Theoretical_Price,Symbol,Security,GICS Sector,GICS Sub-Industry
382,CLX,7164491396.446695,15008534930.4,122.1,0.4773611434874244,58.285795619814515,CLX,Clorox,Consumer Staples,Household Products
383,RTX,86392228436.7499,181338953180.15997,148.48,0.47641296545326006,70.73779711050004,RTX,RTX Corporation,Industrials,Aerospace & Defense
384,AIG,22612230159.16371,48333216496.26,84.22,0.4678403755916686,39.40151643233033,AIG,American International Group,Financials,Multi-line Insurance
385,IP,11284634014.915588,24137164924.26,45.93,0.4675211049154131,21.473244348764922,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials
386,TSCO,12562031628.19135,26937574092.179996,50.98,0.4663386385575871,23.77394379366579,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail
387,TRMB,7834964609.361547,17046863414.880001,71.76,0.45961326835777316,32.98184813735381,TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments
388,EXPD,6898964534.035019,15453264972.98,113.81,0.44644057719180014,50.80940209019877,EXPD,Expeditors International,Industrials,Air Freight & Logistics
389,CHRW,4910103535.927922,11078885179.95,93.59,0.44319473089349964,41.47859486432264,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics
390,FAST,20855819400.09351,47541078461.7,41.55,0.4386904983002301,18.22759020437456,FAST,Fastenal,Industrials,Trading Companies & Distributors
391,VRSK,18140581657.57162,42850663688.91,307.23,0.423344240109553,130.064050888858,VRSK,Verisk Analytics,Industrials,Research & Consulting Services
392,ABT,95677669911.99657,228815326178.8,132.28,0.41814362486030543,55.3120386965212,ABT,Abbott Laboratories,Health Care,Health Care Equipment
393,CDNS,33905185348.231823,81333409807.0,299.0,0.4168666410112042,124.64312566235006,CDNS,Cadence Design Systems,Information Technology,Application Software
394,BSX,61907257177.4205,150079655149.38,101.73,0.4124959983137078,41.963217908453494,BSX,Boston Scientific,Health Care,Health Care Equipment
395,PPG,10022405589.735485,24332242365.0,107.54,0.4118981489413372,44.2955269371514,PPG,PPG Industries,Materials,Specialty Chemicals
396,HWM,27917094220.907116,68761257544.2,172.12,0.40600034405947133,69.8807792195162,HWM,Howmet Aerospace,Industrials,Aerospace & Defense
397,IDXX,16573591194.504532,41415102757.350006,520.59,0.4001823028572153,208.33090504443774,IDXX,Idexx Laboratories,Health Care,Health Care Equipment
398,AMZN,810849892848.2194,2056193309350.5999,214.82,0.394345166459231,84.713228658772,AMZN,Amazon,Consumer Discretionary,Broadline Retail
399,LIN,85322181003.37845,216381031648.09998,460.9,0.3943145124760184,181.73955880019685,LIN,Linde plc,Materials,Industrial Gases
400,MLM,12602306421.869274,32378447217.38,541.39,0.38921898685446066,210.71926729313645,MLM,Martin Marietta Materials,Materials,Construction Materials
401,AMD,78842018209.5512,204644092316.8,127.1,0.38526408124940903,48.96706472679988,AMD,Advanced Micro Devices,Information Technology,Semiconductors
402,KO,99287575287.8822,269522940666.18002,69.62,0.3683826506288223,25.646800136778612,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages
403,TER,5070139376.72064,13806753262.740002,86.43,0.3672216979790115,31.738971356325965,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment
404,DOV,8770622841.595516,24009525214.16,176.08,0.3652976376402021,64.3216080356868,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components
405,ROK,13076654993.810152,35998108998.22,320.41,0.36325949772685984,116.39197566666317,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment
406,NUE,10149180068.640497,28002865644.0,122.2,0.3624336236750505,44.28938881309117,NUE,Nucor,Materials,Steel
407,JCI,24297694341.35299,68069238647.520004,103.84,0.3569555767646042,37.066267091236504,JCI,Johnson Controls,Industrials,Building Products
408,COST,153386672638.67844,432408362553.48004,977.72,0.35472642511558194,346.8231203640068,COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail
409,EQT,12307897269.227768,34920770926.299995,58.87,0.3524520491029103,20.748852130688327,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production
410,GLW,13794319457.996784,39474126319.28,50.48,0.3494521790406124,17.640345997970112,GLW,Corning Inc.,Information Technology,Electronic Components
411,AXON,19861109886.45172,57649580532.24,777.54,0.3445143868019053,267.8737163139534,AXON,Axon Enterprise,Industrials,Aerospace & Defense
412,FICO,14127785749.260464,42020558253.520004,1776.94,0.3362112817260584,597.4272749503023,FICO,Fair Isaac,Information Technology,Application Software
413,TFC,17006575040.845345,50975860697.49,39.03,0.3336201646847864,13.021195027647213,TFC,Truist Financial,Financials,Diversified Banks
414,NFLX,162769100184.33463,516054139285.41003,1220.67,0.3154108993481267,385.01262250727785,NFLX,Netflix,Communication Services,Movies & Entertainment
415,TRGP,10997694873.309038,36188256276.9,169.65,0.30390231541300267,51.55702780981591,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation
416,WY,5634793761.198049,18685697351.36,25.87,0.30155651433517044,7.80126702585086,WY,Weyerhaeuser,Real Estate,Timber REITs
417,URI,13134152961.546558,44930193063.1,694.99,0.29232353716132364,203.16193509174832,URI,United Rentals,Industrials,Trading Companies & Distributors
