combination,trades,down_rate,stop_rate
Close near BB_upper & Close near BB_lower & OBV↑ & Close>VWAP20 & CMO>0 & ROC8↑,151,0.3708609271523179,0.3576158940397351
ROC_1>0 & Close near BB_lower & OBV↑ & Vol<Vol20 & ROC3↑,156,0.3717948717948718,0.3461538461538461
MA20↑ & OBV↑ & Vol<Vol20 & DIF>DEA & ROC8↑,156,0.3717948717948718,0.358974358974359
MA20↑ & OBV↑ & Vol<Vol20 & Hist>0 & ROC8↑,156,0.3717948717948718,0.358974358974359
MA20↑ & OBV↑ & Vol<Vol20 & DIF>DEA & Hist>0 & ROC8↑,156,0.3717948717948718,0.358974358974359
ROC_3>0 & ROC_5>0 & MA20↑ & Close>MA20 & %D<80 & J<100 & ROC3↑,156,0.3717948717948718,0.3782051282051282
ROC_5>0 & ATR14>ATR50 & Close near BB_upper & %K>20,156,0.3717948717948718,0.3846153846153846
Close near BB_lower & OBV↑ & Vol<Vol20 & %D<80 & ROC8↑,164,0.3719512195121951,0.3658536585365853
Close near BB_upper & Close near BB_lower & Vol<Vol20 & %K>20 & %D<80 & ROC3↑ & ROC8↑,153,0.3725490196078431,0.3725490196078431
MA20↑ & |RSI14-50|<10 & OBV↑ & Vol<Vol20 & ROC8↑,169,0.3727810650887574,0.3668639053254438
ROC_1>0 & |RSI14-50|<10 & Close near BB_lower & OBV↑ & Vol<Vol20,177,0.3728813559322034,0.3559322033898305
ROC_1>0 & ROC_3>0 & MA20↑ & OBV↑ & Vol<Vol20 & ROC8↑,185,0.372972972972973,0.3675675675675676
ROC_3>0 & ROC_5>0 & MA20↑ & OBV↑ & Vol<Vol20 & ROC8↑,185,0.372972972972973,0.3675675675675676
Close near BB_lower & OBV↑ & Close>VWAP20 & ROC3↑,150,0.3733333333333333,0.36
Close near BB_upper & Close near BB_lower & OBV↑ & Close>VWAP20 & ROC3↑,150,0.3733333333333333,0.36
OBV↑ & Vol<Vol20 & J<100 & DIF>DEA & CMO>0 & ROC8↑,150,0.3733333333333333,0.36
OBV↑ & Vol<Vol20 & J<100 & Hist>0 & CMO>0 & ROC8↑,150,0.3733333333333333,0.36
OBV↑ & Vol<Vol20 & J<100 & DIF>DEA & Hist>0 & CMO>0 & ROC8↑,150,0.3733333333333333,0.36
OBV↑ & Vol<Vol20 & %K>20 & J<100 & DIF>DEA & CMO>0 & ROC8↑,150,0.3733333333333333,0.36
OBV↑ & Vol<Vol20 & %K>20 & J<100 & Hist>0 & CMO>0 & ROC8↑,150,0.3733333333333333,0.36
OBV↑ & Vol<Vol20 & %K>20 & J<100 & DIF>DEA & Hist>0 & CMO>0 & ROC8↑,150,0.3733333333333333,0.36
ROC_3>0 & ROC_5>0 & MA20↑ & %D<80 & J<100 & CMO>0 & ROC8↑,150,0.3733333333333333,0.3666666666666666
|RSI14-50|<10 & Close near BB_middle & Close near BB_lower & OBV↑ & CMO>0 & ROC8↑,150,0.3733333333333333,0.3866666666666666
Close near BB_upper & Close near BB_lower & Vol<Vol20 & %D<80 & J<100 & ROC5↑ & ROC3↑,150,0.3733333333333333,0.3866666666666666
Close near BB_upper & Close near BB_lower & OBV↑ & CMO>0 & ROC8↑,158,0.3734177215189873,0.3860759493670886
Close near BB_upper & Close near BB_lower & OBV↑ & %K>20 & CMO>0 & ROC8↑,158,0.3734177215189873,0.3860759493670886
ROC_3>0 & ROC_5>0 & MA20↑ & Close>MA20 & Close near BB_upper & %D<80 & J<100,166,0.3734939759036144,0.3614457831325301
ROC_1>0 & Close near BB_upper & Close near BB_lower & Vol<Vol20 & %D<80 & J<100,174,0.3735632183908046,0.3793103448275862
Close>MA50 & MA20↑ & OBV↑ & Vol<Vol20 & DIF>DEA & ROC8↑,155,0.3741935483870968,0.3612903225806451
Close>MA50 & MA20↑ & OBV↑ & Vol<Vol20 & Hist>0 & ROC8↑,155,0.3741935483870968,0.3612903225806451
Close>MA50 & MA20↑ & OBV↑ & Vol<Vol20 & DIF>DEA & Hist>0 & ROC8↑,155,0.3741935483870968,0.3612903225806451
ATR14>ATR50 & Close near BB_upper & Close>VWAP20 & %K>20,155,0.3741935483870968,0.3870967741935484
ROC_1>0 & Close near BB_upper & Close near BB_lower & Vol<Vol20 & ROC5↑ & ROC3↑,155,0.3741935483870968,0.3870967741935484
ROC_1>0 & MA20↑ & Close>MA20 & OBV↑ & Vol<Vol20 & ROC3↑ & ROC8↑,152,0.375,0.3223684210526316
ROC_1>0 & ROC_5>0 & |RSI14-50|<10 & Close near BB_upper & Close near BB_lower & ROC3↑ & ROC8↑,152,0.375,0.3355263157894737
|RSI14-50|<10 & Close near BB_upper & Close near BB_lower & OBV↑ & ROC3↑ & ROC8↑,152,0.375,0.3355263157894737
ROC_3>0 & ROC_5>0 & MA20↑ & %D<80 & ROC8↑,184,0.375,0.375
ROC_3>0 & ROC_5>0 & MA20↑ & %K>20 & %D<80 & ROC8↑,184,0.375,0.375
ROC_1>0 & ROC_5>0 & Close near BB_upper & Close near BB_lower & %D<80 & J<100 & ROC5↑ & ROC3↑,152,0.375,0.375
ROC_3>0 & ROC_5>0 & OBV↑ & Vol<Vol20 & J<100 & CMO>0 & ROC8↑,184,0.375,0.3804347826086957
ROC_3>0 & ROC_5>0 & OBV↑ & Vol<Vol20 & %K>20 & J<100 & CMO>0 & ROC8↑,184,0.375,0.3804347826086957
ROC_1>0 & Close near BB_upper & Close near BB_lower & OBV↑ & CMO>0 & ROC8↑,152,0.375,0.3881578947368421
MA20↑ & OBV↑ & Vol<Vol20 & ROC8↑,205,0.375609756097561,0.3804878048780488
MA20↑ & OBV↑ & Vol<Vol20 & %K>20 & ROC8↑,205,0.375609756097561,0.3804878048780488
ROC_1>0 & Close near BB_upper & Close near BB_lower & Vol<Vol20 & ROC3↑ & ROC8↑,157,0.375796178343949,0.3694267515923566
ROC_3>0 & ROC_5>0 & MA20↑ & Close near BB_upper & %D<80 & J<100,178,0.3764044943820224,0.3651685393258427
|RSI14-50|<10 & Close near BB_lower & OBV↑ & Vol<Vol20 & ROC8↑,170,0.3764705882352941,0.3764705882352941
ROC_3>0 & ROC_5>0 & MA20↑ & %D<80 & J<100 & ROC3↑,170,0.3764705882352941,0.388235294117647
ROC_5>0 & Close near BB_upper & Close near BB_lower & %D<80 & J<100 & ROC5↑ & ROC3↑,154,0.3766233766233766,0.3636363636363636
ROC_1>0 & ROC_5>0 & MA20↑ & Close>MA20 & %D<80 & J<100 & ROC3↑,154,0.3766233766233766,0.3701298701298701
ROC_1>0 & ROC_5>0 & Vol<Vol20 & %K>20 & J<100 & ROC3↑ & ROC8↑,215,0.3767441860465116,0.3813953488372093
ROC_3>0 & ROC_5>0 & MA20↑ & Vol<Vol20 & ROC5↑ & ROC8↑,175,0.3771428571428571,0.3771428571428571
ROC_3>0 & ROC_5>0 & MA20↑ & Close>MA20 & %D<80 & J<100,167,0.3772455089820359,0.3532934131736527
ROC_3>0 & ROC_5>0 & MA20↑ & Close>MA20 & Close>VWAP20 & %D<80 & J<100,167,0.3772455089820359,0.3532934131736527
Close near BB_lower & OBV↑ & CMO>0 & ROC8↑,159,0.3773584905660377,0.389937106918239
Close near BB_lower & OBV↑ & %K>20 & CMO>0 & ROC8↑,159,0.3773584905660377,0.389937106918239
Close near BB_upper & Close near BB_lower & OBV↑ & %D<80 & ROC3↑ & ROC8↑,151,0.3774834437086092,0.3443708609271523
Close near BB_upper & Close near BB_lower & OBV↑ & %K>20 & %D<80 & ROC3↑ & ROC8↑,151,0.3774834437086092,0.3576158940397351
ROC_1>0 & ROC_5>0 & Close near BB_upper & %D<80 & J<100 & ROC8↑,209,0.3779904306220095,0.3636363636363636
