date,contract_month,strike,underlying,market_price,theo_price,iv_real,option_type,product_code
2025-03-26,20250328,41125.0,38027.29,0.0,0.0,0.240716,CALL,NK225MWE  
2025-03-26,20250328,41250.0,38027.29,0.0,0.0,0.240716,CALL,NK225MWE  
2025-03-26,20250328,41375.0,38027.29,0.0,0.0,0.240716,CALL,NK225MWE  
2025-03-26,20250328,41500.0,38027.29,0.0,0.0,0.240716,CALL,NK225MWE  
2025-03-26,20250328,41625.0,38027.29,0.0,0.0,0.240716,CALL,NK225MWE  
2025-03-26,20250328,41750.0,38027.29,0.0,0.0,0.240716,CALL,NK225MWE  
2025-03-26,20250404,33750.0,38027.29,0.0,3980.89,0.366403,CALL,NK225MWE  
2025-03-26,20250404,33875.0,38027.29,0.0,3856.36,0.356061,CALL,NK225MWE  
2025-03-26,20250404,34000.0,38027.29,0.0,3731.9,0.358761,CALL,NK225MWE  
2025-03-26,20250404,34125.0,38027.29,0.0,3607.49,0.348138,CALL,NK225MWE  
2025-03-26,20250404,34250.0,38027.29,0.0,3483.14,0.337512,CALL,NK225MWE  
2025-03-26,20250404,34375.0,38027.29,0.0,3358.86,0.326881,CALL,NK225MWE  
2025-03-26,20250404,34500.0,38027.29,0.0,3234.7,0.316242,CALL,NK225MWE  
2025-03-26,20250404,34625.0,38027.29,0.0,3110.98,0.305594,CALL,NK225MWE  
2025-03-26,20250404,34750.0,38027.29,0.0,2987.47,0.305019,CALL,NK225MWE  
2025-03-26,20250404,34875.0,38027.29,0.0,2864.18,0.294084,CALL,NK225MWE  
2025-03-26,20250404,35000.0,38027.29,0.0,2741.14,0.283129,CALL,NK225MWE  
2025-03-26,20250404,35125.0,38027.29,0.0,2618.39,0.280638,CALL,NK225MWE  
2025-03-26,20250404,35250.0,38027.29,0.0,2495.96,0.269392,CALL,NK225MWE  
2025-03-26,20250404,35375.0,38027.29,0.0,2375.05,0.265538,CALL,NK225MWE  
2025-03-26,20250404,35500.0,38027.29,0.0,2252.68,0.260756,CALL,NK225MWE  
2025-03-26,20250404,35625.0,38027.29,0.0,2132.26,0.25516,CALL,NK225MWE  
2025-03-26,20250404,35750.0,38027.29,0.0,2012.52,0.243108,CALL,NK225MWE  
2025-03-26,20250404,35875.0,38027.29,0.0,1892.95,0.241846,CALL,NK225MWE  
2025-03-26,20250404,36000.0,38027.29,0.0,1774.17,0.234232,CALL,NK225MWE  
2025-03-26,20250404,36125.0,38027.29,0.0,1659.68,0.230517,CALL,NK225MWE  
2025-03-26,20250404,36250.0,38027.29,0.0,1545.07,0.225583,CALL,NK225MWE  
2025-03-26,20250404,36375.0,38027.29,0.0,1432.61,0.219562,CALL,NK225MWE  
2025-03-26,20250404,36500.0,38027.29,0.0,1321.76,0.216019,CALL,NK225MWE  
2025-03-26,20250404,36625.0,38027.29,0.0,1213.57,0.214225,CALL,NK225MWE  
2025-03-26,20250404,36750.0,38027.29,0.0,1108.56,0.207736,CALL,NK225MWE  
